Timestamp,ID,eBay_Item_ID,Action,Old_Title_UI,Target_Title,Result,Detail
2026-05-07T01:17:45-04:00,Acrylic-Zen-0010,406903213858,TITLE_REVISE_ONLY,Zen Lotus Seed Pod Vessel 5x7 Acrylic Block for Meditation Decor Shelf Study,Smoky Jade Desk Object Lotus Seed Pod Vessel for 5x7 Acrylic Photo Block Decor,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Smoky Jade Desk Object Lotus Seed Pod Vessel for 5x7 Acrylic Photo Block Decor | eBay
2026-05-07T01:19:00-04:00,Sticker-Academia-0004,406892408950,TITLE_REVISE_ONLY,4pc Kiss-Cut Sticker Set Mechanical Raven Familiar Laptop Journal Bottle Dark,Smoky Jade Sticker Set Mechanical Raven Familiar Bottle 4pc 6x6 Kiss-Cut Vinyl,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Smoky Jade Sticker Set Mechanical Raven Familiar Bottle 4pc 6x6 Kiss-Cut Vinyl | eBay
2026-05-07T01:19:48-04:00,Sticker-Zen-0010,406892414116,TITLE_REVISE_ONLY,Zen Aesthetic Floating Island Sanctuary 4pc 6x6 Kiss-Cut Sticker Vinyl Laptop,Reading Nook Vinyl Set Floating Island Sanctuary 4pc 6x6 Kiss-Cut Vinyl Quiet,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Reading Nook Vinyl Set Floating Island Sanctuary 4pc 6x6 Kiss-Cut Vinyl Quiet | eBay
2026-05-07T01:20:34-04:00,Sticker-Zen-0055,406903037933,TITLE_REVISE_ONLY,Mindful Zen Azure Dragon Warrior 4pc 6x6 Vinyl Sticker Laptop Journal Gift Desk,Quiet Desk Sticker Pack Azure Dragon Warrior 4pc 6x6 Kiss-Cut Vinyl Laptop Gift,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Quiet Desk Sticker Pack Azure Dragon Warrior 4pc 6x6 Kiss-Cut Vinyl Laptop Gift | eBay
2026-05-07T01:21:33-04:00,Sticker-Zen-0056,406903041315,TITLE_REVISE_ONLY,Dragon Cherry Blossom 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal,Reading Nook Vinyl Set Dragon Cherry Blossom 4pc 6x6 Kiss-Cut Vinyl Laptop Gift,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Reading Nook Vinyl Set Dragon Cherry Blossom 4pc 6x6 Kiss-Cut Vinyl Laptop Gift | eBay
2026-05-07T01:22:40-04:00,Sticker-Zen-0057,406903044643,TITLE_REVISE_ONLY,Moonlit Dragon 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal Desk Decor,Wabi Sabi Journal Decals Moonlit Dragon 4pc 6x6 Kiss-Cut Vinyl Laptop Journal,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Wabi Sabi Journal Decals Moonlit Dragon 4pc 6x6 Kiss-Cut Vinyl Laptop Journal | eBay
2026-05-07T01:23:19-04:00,Sticker-Zen-0058,406903049411,TITLE_REVISE_ONLY,Minimal Zen Dragon Calligraphy 4pc 6x6 Sticker Sheet Serene Mindful Clean Decor,Smoky Jade Sticker Set Dragon Calligraphy Serene Clean 4pc 6x6 Kiss-Cut Vinyl,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Smoky Jade Sticker Set Dragon Calligraphy Serene Clean 4pc 6x6 Kiss-Cut Vinyl | eBay
2026-05-07T01:23:59-04:00,Sticker-Zen-0060,406903249053,TITLE_REVISE_ONLY,Minimal Zen Translucent Jade Dragon 4pc 6x6 Sticker Sheet Serene Mindful Clean,Reading Nook Vinyl Set Translucent Jade Dragon Serene Clean 4pc 6x6 Kiss-Cut,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Reading Nook Vinyl Set Translucent Jade Dragon Serene Clean 4pc 6x6 Kiss-Cut | eBay
2026-05-07T01:24:44-04:00,Sticker-Zen-0061,406903249987,TITLE_REVISE_ONLY,Minimal Zen Kintsugi Gold Dragon 4pc 6x6 Sticker Sheet Serene Mindful Calm Gift,Wabi Sabi Journal Decals Kintsugi Gold Dragon Serene Calm 4pc 6x6 Kiss-Cut Gift,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Wabi Sabi Journal Decals Kintsugi Gold Dragon Serene Calm 4pc 6x6 Kiss-Cut Gift | eBay
2026-05-07T01:25:26-04:00,Sticker-Zen-0062,406903250891,TITLE_REVISE_ONLY,Zen Aesthetic Bioluminescent Dragon 4pc 6x6 Kiss-Cut Sticker Laptop Journal,Smoky Jade Sticker Set Bioluminescent Dragon 4pc 6x6 Kiss-Cut Vinyl Laptop Gift,REVISE_SUBMITTED_UNCONFIRMED,Revise your listing | Smoky Jade Sticker Set Bioluminescent Dragon 4pc 6x6 Kiss-Cut Vinyl Laptop Gift | eBay
