rank,score,ID,Category,Current_Title,Digital_Title,Tags,Source_Path,Status
14,102,Poster-Academia-0025,Academia,Dark Academia Chrono-Codex Terrarium 12x18 Poster Library Decor Wall Study Gift,Dark Academia Chrono-Codex Terrarium Printable Wall Art Library Decor Wall Study Gift Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0025_Ready_for_Steaming\Production_Design.png,Printify_UI_Mockups4
15,102,Poster-Academia-0026,Academia,Dark Academia Apothecary Cylinder 12x18 Poster Vintage Study Decor Wall Library,Dark Academia Apothecary Cylinder Printable Wall Art Vintage Study Decor Wall Library Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0026_Ready_for_Steaming\Production_Design.png,Printify_UI_Mockups4
16,102,Poster-Academia-0028,Academia,Dark Academia Alchemist Retort Library Poster 12x18 Study Decor Wall Gift Room,Dark Academia Alchemist Retort Library Printable Wall Art Study Decor Wall Gift Room Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0028_Ready_for_Steaming\Production_Design.png,Printify_UI_Mockups4
17,94,Poster-Academia-0002,Academia,Dark Academia Obsidian Threshold Poster 12x18 Vintage Study Decor Mentor Wisdom,Dark Academia Obsidian Threshold Printable Wall Art Vintage Study Decor Mentor Wisdom Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0002_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
18,94,Poster-Academia-0003,Academia,Dark Academia Serpentine Portal of Alchemical Texts 12x18 Poster Study Decor,Dark Academia Serpentine Portal of Alchemical Texts Printable Wall Art Study Decor Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0003_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
19,94,Poster-Academia-0082,Academia,Celestial Armillary Codex Academia Poster 12x18 Vintage Astronomy Decor Wall,Celestial Armillary Codex Academia Printable Wall Art Vintage Astronomy Decor Wall Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0082_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
20,94,Poster-Academia-0083,Academia,Academia Mentor-Grade Cosmic Lotus Observatory 12x18 Poster Steampunk Study,Academia Mentor-Grade Cosmic Lotus Observatory Printable Wall Art Steampunk Study Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0083_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
21,94,Poster-Academia-0085,Academia,Orrery Lighthouse Beacon Dark Academia Poster 12x18 Vintage Astronomy Wall Art,Orrery Lighthouse Beacon Dark Academia Printable Wall Art Vintage Astronomy Wall Art Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0085_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
22,94,Poster-Zen-0005,Zen,Zen Phoenix Rebirth Vessel 12x18 Poster for Meditation Room Decor Wall Study,Zen Phoenix Rebirth Vessel Printable Wall Art for Meditation Room Decor Wall Study Digital Download,"digital download, printable art, wall art print, zen decor, study room decor, dark academia, gallery wall, wabi sabi decor, japanese decor, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0005_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
23,94,Poster-Academia-0005,Academia,Arcane Archway of Forbidden Chronicles Dark Academia 12x18 Poster Study Room,Arcane Archway of Forbidden Chronicles Dark Academia Printable Wall Art Study Room Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0005_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups4
24,94,Poster-Academia-0006,Academia,Dark Academia Ethereal Torii Poster 12x18 Study Room Decor Scholarly Ascension,Dark Academia Ethereal Torii Printable Wall Art Study Room Decor Scholarly Ascension Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0006_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
25,94,Poster-Academia-0008,Academia,Dark Academia Mystic Threshold Infinite Knowledge Poster 12x18 Study Decor Wall,Dark Academia Mystic Threshold Infinite Knowledge Printable Wall Art Study Decor Wall Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0008_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups4
26,94,Poster-Academia-0009,Academia,Dark Academia Sanctum Gate of Preserved Wisdom 12x18 Poster Study Decor Wall,Dark Academia Sanctum Gate of Preserved Wisdom Printable Wall Art Study Decor Wall Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0009_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups4
27,94,Poster-Academia-0010,Academia,Dark Academia Hermetic Portal of Ancient Codices 12x18 Poster Study Decor Wall,Dark Academia Hermetic Portal of Ancient Codices Printable Wall Art Study Decor Wall Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0010_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups4
28,94,Poster-Academia-0013,Academia,Dark Academia Alchemist Threshold Transmuted Knowledge 12x18 Poster Study Decor,Dark Academia Alchemist Threshold Transmuted Knowledge Printable Wall Art Study Decor Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0013_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups8
29,94,Poster-Academia-0014,Academia,Dark Academia Oracle Portal Prophetic Scriptures 12x18 Poster Study Decor Wall,Dark Academia Oracle Portal Prophetic Scriptures Printable Wall Art Study Decor Wall Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0014_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups4
30,94,Poster-Academia-0017,Academia,Dark Academia Poster 12x18 Magister Torii Study Decor Scholarly Gift Wall Room,Dark Academia Printable Wall Art Magister Torii Study Decor Scholarly Gift Wall Room Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0017_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups8
