Platform,Product_Type,Scenario,List_Price,Buyer_Shipping_Charged,Printify_Product_Cost,Printify_Shipping_Cost,Ad_Rate,Marketplace_Percent_Fee,Fixed_Fees,Gross_Revenue,Estimated_Fees,Estimated_Profit,Profit_Margin_On_Gross,Notes
eBay,Sticker,Free_Shipping_Embedded,11.99,0.0,4.8,4.69,0.02,0.136,0.4,11.99,2.27,0.23,0.0191,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Free_Shipping_Embedded,11.99,0.0,4.8,4.69,0.05,0.136,0.4,11.99,2.63,-0.13,-0.0109,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
Etsy,Sticker,Buyer_Pays_Printify_Shipping,11.99,4.69,4.8,4.69,0.02,0.095,0.45,16.68,2.37,4.82,0.2891,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Buyer_Pays_Printify_Shipping,11.99,4.69,4.8,4.69,0.05,0.095,0.45,16.68,2.87,4.32,0.2591,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Free_Shipping_Embedded,11.99,0.0,4.8,4.69,0.02,0.095,0.45,11.99,1.83,0.67,0.056,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Free_Shipping_Embedded,11.99,0.0,4.8,4.69,0.05,0.095,0.45,11.99,2.19,0.31,0.026,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
eBay,Sticker,Buyer_Pays_Printify_Shipping,12.99,4.69,4.8,4.69,0.02,0.136,0.4,17.68,3.16,5.03,0.2846,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Buyer_Pays_Printify_Shipping,12.99,4.69,4.8,4.69,0.05,0.136,0.4,17.68,3.69,4.5,0.2546,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Free_Shipping_Embedded,12.99,0.0,4.8,4.69,0.02,0.136,0.4,12.99,2.43,1.07,0.0826,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Free_Shipping_Embedded,12.99,0.0,4.8,4.69,0.05,0.136,0.4,12.99,2.82,0.68,0.0526,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
Etsy,Sticker,Buyer_Pays_Printify_Shipping,12.99,4.69,4.8,4.69,0.02,0.095,0.45,17.68,2.48,5.71,0.3228,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Buyer_Pays_Printify_Shipping,12.99,4.69,4.8,4.69,0.05,0.095,0.45,17.68,3.01,5.18,0.2928,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Free_Shipping_Embedded,12.99,0.0,4.8,4.69,0.02,0.095,0.45,12.99,1.94,1.56,0.1198,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Free_Shipping_Embedded,12.99,0.0,4.8,4.69,0.05,0.095,0.45,12.99,2.33,1.17,0.0898,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
eBay,Sticker,Buyer_Pays_Printify_Shipping,14.99,4.69,4.8,4.69,0.02,0.136,0.4,19.68,3.47,6.72,0.3415,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Buyer_Pays_Printify_Shipping,14.99,4.69,4.8,4.69,0.05,0.136,0.4,19.68,4.06,6.13,0.3115,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Free_Shipping_Embedded,14.99,0.0,4.8,4.69,0.02,0.136,0.4,14.99,2.74,2.76,0.1842,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Free_Shipping_Embedded,14.99,0.0,4.8,4.69,0.05,0.136,0.4,14.99,3.19,2.31,0.1542,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
Etsy,Sticker,Buyer_Pays_Printify_Shipping,14.99,4.69,4.8,4.69,0.02,0.095,0.45,19.68,2.71,7.48,0.3799,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Buyer_Pays_Printify_Shipping,14.99,4.69,4.8,4.69,0.05,0.095,0.45,19.68,3.3,6.89,0.3499,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Free_Shipping_Embedded,14.99,0.0,4.8,4.69,0.02,0.095,0.45,14.99,2.17,3.33,0.2219,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Free_Shipping_Embedded,14.99,0.0,4.8,4.69,0.05,0.095,0.45,14.99,2.62,2.88,0.1919,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
eBay,Poster,Buyer_Pays_Printify_Shipping,29.99,7.0,6.0,7.0,0.02,0.136,0.4,36.99,6.17,17.82,0.4817,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Buyer_Pays_Printify_Shipping,29.99,7.0,6.0,7.0,0.05,0.136,0.4,36.99,7.28,16.71,0.4517,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Free_Shipping_Embedded,29.99,0.0,6.0,7.0,0.02,0.136,0.4,29.99,5.08,11.91,0.3972,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Free_Shipping_Embedded,29.99,0.0,6.0,7.0,0.05,0.136,0.4,29.99,5.98,11.01,0.3672,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
Etsy,Poster,Buyer_Pays_Printify_Shipping,29.99,7.0,6.0,7.0,0.02,0.095,0.45,36.99,4.7,19.29,0.5214,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Buyer_Pays_Printify_Shipping,29.99,7.0,6.0,7.0,0.05,0.095,0.45,36.99,5.81,18.18,0.4914,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Free_Shipping_Embedded,29.99,0.0,6.0,7.0,0.02,0.095,0.45,29.99,3.9,13.09,0.4365,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Free_Shipping_Embedded,29.99,0.0,6.0,7.0,0.05,0.095,0.45,29.99,4.8,12.19,0.4065,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
eBay,Poster,Buyer_Pays_Printify_Shipping,34.99,7.0,6.0,7.0,0.02,0.136,0.4,41.99,6.95,22.04,0.5249,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Buyer_Pays_Printify_Shipping,34.99,7.0,6.0,7.0,0.05,0.136,0.4,41.99,8.21,20.78,0.4949,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Free_Shipping_Embedded,34.99,0.0,6.0,7.0,0.02,0.136,0.4,34.99,5.86,16.13,0.461,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Free_Shipping_Embedded,34.99,0.0,6.0,7.0,0.05,0.136,0.4,34.99,6.91,15.08,0.431,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
Etsy,Poster,Buyer_Pays_Printify_Shipping,34.99,7.0,6.0,7.0,0.02,0.095,0.45,41.99,5.28,23.71,0.5647,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Buyer_Pays_Printify_Shipping,34.99,7.0,6.0,7.0,0.05,0.095,0.45,41.99,6.54,22.45,0.5347,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Free_Shipping_Embedded,34.99,0.0,6.0,7.0,0.02,0.095,0.45,34.99,4.47,17.52,0.5006,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Free_Shipping_Embedded,34.99,0.0,6.0,7.0,0.05,0.095,0.45,34.99,5.52,16.47,0.4706,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
eBay,Poster,Buyer_Pays_Printify_Shipping,39.99,7.0,6.0,7.0,0.02,0.136,0.4,46.99,7.73,26.26,0.5588,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Buyer_Pays_Printify_Shipping,39.99,7.0,6.0,7.0,0.05,0.136,0.4,46.99,9.14,24.85,0.5288,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Free_Shipping_Embedded,39.99,0.0,6.0,7.0,0.02,0.136,0.4,39.99,6.64,20.35,0.5089,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Free_Shipping_Embedded,39.99,0.0,6.0,7.0,0.05,0.136,0.4,39.99,7.84,19.15,0.4789,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
Etsy,Poster,Buyer_Pays_Printify_Shipping,39.99,7.0,6.0,7.0,0.02,0.095,0.45,46.99,5.85,28.14,0.5988,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Buyer_Pays_Printify_Shipping,39.99,7.0,6.0,7.0,0.05,0.095,0.45,46.99,7.26,26.73,0.5688,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Free_Shipping_Embedded,39.99,0.0,6.0,7.0,0.02,0.095,0.45,39.99,5.05,21.94,0.5487,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Free_Shipping_Embedded,39.99,0.0,6.0,7.0,0.05,0.095,0.45,39.99,6.25,20.74,0.5187,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
eBay,Poster,Buyer_Pays_Printify_Shipping,44.99,7.0,6.0,7.0,0.02,0.136,0.4,51.99,8.51,30.48,0.5863,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Buyer_Pays_Printify_Shipping,44.99,7.0,6.0,7.0,0.05,0.136,0.4,51.99,10.07,28.92,0.5563,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Free_Shipping_Embedded,44.99,0.0,6.0,7.0,0.02,0.136,0.4,44.99,7.42,24.57,0.5462,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
eBay,Poster,Free_Shipping_Embedded,44.99,0.0,6.0,7.0,0.05,0.136,0.4,44.99,8.77,23.22,0.5162,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: poster production about $6 plus $7 shipping.
Etsy,Poster,Buyer_Pays_Printify_Shipping,44.99,7.0,6.0,7.0,0.02,0.095,0.45,51.99,6.43,32.56,0.6263,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Buyer_Pays_Printify_Shipping,44.99,7.0,6.0,7.0,0.05,0.095,0.45,51.99,7.99,31.0,0.5963,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Free_Shipping_Embedded,44.99,0.0,6.0,7.0,0.02,0.095,0.45,44.99,5.62,26.37,0.586,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
Etsy,Poster,Free_Shipping_Embedded,44.99,0.0,6.0,7.0,0.05,0.095,0.45,44.99,6.97,25.02,0.556,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: poster production about $6 plus $7 shipping."
eBay,Acrylic,Buyer_Pays_Printify_Shipping,79.99,15.99,35.43,15.99,0.02,0.136,0.4,95.98,15.37,29.19,0.3041,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Buyer_Pays_Printify_Shipping,79.99,15.99,35.43,15.99,0.05,0.136,0.4,95.98,18.25,26.31,0.2741,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Free_Shipping_Embedded,79.99,0.0,35.43,15.99,0.02,0.136,0.4,79.99,12.88,15.69,0.1962,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Free_Shipping_Embedded,79.99,0.0,35.43,15.99,0.05,0.136,0.4,79.99,15.28,13.29,0.1662,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
Etsy,Acrylic,Buyer_Pays_Printify_Shipping,79.99,15.99,35.43,15.99,0.02,0.095,0.45,95.98,11.49,33.07,0.3446,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Buyer_Pays_Printify_Shipping,79.99,15.99,35.43,15.99,0.05,0.095,0.45,95.98,14.37,30.19,0.3146,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Free_Shipping_Embedded,79.99,0.0,35.43,15.99,0.02,0.095,0.45,79.99,9.65,18.92,0.2365,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Free_Shipping_Embedded,79.99,0.0,35.43,15.99,0.05,0.095,0.45,79.99,12.05,16.52,0.2065,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
eBay,Acrylic,Buyer_Pays_Printify_Shipping,84.99,15.99,35.43,15.99,0.02,0.136,0.4,100.98,16.15,33.41,0.3308,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Buyer_Pays_Printify_Shipping,84.99,15.99,35.43,15.99,0.05,0.136,0.4,100.98,19.18,30.38,0.3008,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Free_Shipping_Embedded,84.99,0.0,35.43,15.99,0.02,0.136,0.4,84.99,13.66,19.91,0.2343,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Free_Shipping_Embedded,84.99,0.0,35.43,15.99,0.05,0.136,0.4,84.99,16.21,17.36,0.2043,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
Etsy,Acrylic,Buyer_Pays_Printify_Shipping,84.99,15.99,35.43,15.99,0.02,0.095,0.45,100.98,12.06,37.5,0.3713,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Buyer_Pays_Printify_Shipping,84.99,15.99,35.43,15.99,0.05,0.095,0.45,100.98,15.09,34.47,0.3413,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Free_Shipping_Embedded,84.99,0.0,35.43,15.99,0.02,0.095,0.45,84.99,10.22,23.35,0.2747,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Free_Shipping_Embedded,84.99,0.0,35.43,15.99,0.05,0.095,0.45,84.99,12.77,20.8,0.2447,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
eBay,Acrylic,Buyer_Pays_Printify_Shipping,89.99,15.99,35.43,15.99,0.02,0.136,0.4,105.98,16.93,37.63,0.355,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Buyer_Pays_Printify_Shipping,89.99,15.99,35.43,15.99,0.05,0.136,0.4,105.98,20.11,34.45,0.325,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Free_Shipping_Embedded,89.99,0.0,35.43,15.99,0.02,0.136,0.4,89.99,14.44,24.13,0.2682,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Free_Shipping_Embedded,89.99,0.0,35.43,15.99,0.05,0.136,0.4,89.99,17.14,21.43,0.2382,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
Etsy,Acrylic,Buyer_Pays_Printify_Shipping,89.99,15.99,35.43,15.99,0.02,0.095,0.45,105.98,12.64,41.92,0.3956,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
